timestamp,cpu_percent,ram_mb,temp_c,bitrate_kbps,fps_real,frames_skipped
22:07:00,40.0,1544,58.7,0,0,0
22:07:09,45.8,1535,57.1,2536,28.1,0
22:07:17,47.8,1536,57.1,2837,31.7,0
22:07:26,23.9,1827,57.6,2415,27.2,0
22:07:34,59.2,1890,58.2,2943,32.3,0
22:07:43,64.0,1656,58.2,2434,28.0,0
22:07:51,53.2,1855,58.7,2942,32.3,0
22:08:00,61.7,1769,58.7,2502,28.3,0
22:08:08,47.8,1554,58.7,2749,31.6,0
22:08:17,52.2,1570,57.1,2495,28.2,0
22:08:25,54.2,1565,58.2,2859,31.7,0
22:08:34,53.2,1577,59.3,2503,28.2,0
22:08:42,44.0,1563,57.6,2831,31.7,0
22:08:51,54.2,1576,58.7,2503,28.2,0
22:08:59,37.0,1555,59.8,2815,31.7,0
22:09:08,50.0,1565,59.3,2527,28.1,0
22:09:16,44.0,1567,58.2,2818,31.8,0
22:09:24,42.0,1564,58.2,2812,31.6,0
22:09:33,54.3,1561,59.3,2499,28.2,0
22:09:41,51.1,1574,58.7,2867,31.7,0
22:09:50,45.7,1555,58.2,2482,28.2,0
22:09:58,48.9,1557,58.7,2840,31.7,0
22:10:07,55.3,1553,57.1,2496,28.2,0
22:10:15,53.3,1562,59.3,2868,31.8,0
22:10:24,46.8,1554,59.3,2510,28.3,0
22:10:32,56.5,1566,59.3,2806,31.6,0
22:10:41,42.2,1557,58.2,2497,28.1,0
22:10:49,45.8,1570,59.3,2864,31.7,0
22:10:58,54.2,1565,59.3,2505,28.3,0
22:11:06,46.9,1570,59.3,2818,31.7,0
22:11:15,56.5,1562,59.8,2491,28.1,0
22:11:23,54.3,1559,59.3,2818,31.7,0
22:11:31,53.2,1557,59.3,2845,31.6,0
22:11:40,49.0,1564,57.6,2505,28.2,0
22:11:48,55.1,1565,59.8,2814,31.6,0
22:11:57,52.0,1570,58.7,2523,28.3,0

# RESUMEN
# Muestras,36
# CPU_media,49.8
# CPU_min,23.9
# CPU_max,64.0
# RAM_media,1594
# RAM_min,1535
# RAM_max,1890
# Temp_media,58.6
# Temp_min,57.1
# Temp_max,59.8
# Bitrate_media,2599
# Bitrate_max,2943
# FPS_media,29.1
